q1,q2,cosine_distance
what is (are) high blood pressure?,what is (are) high blood pressure?,0.0
what is (are) medicare and continuing care?,what is (are) medicare and continuing care?,0.0
what is (are) medicare and continuing care?,what is (are) medicare and continuing care?,0.0
is leber hereditary optic neuropathy inherited?,is leber hereditary optic neuropathy inherited?,0.0
what are the treatments for osteoarthritis?,what are the treatments for osteoarthritis?,0.0
what is (are) milroy disease?,what is (are) milroy disease?,0.0
what is (are) moebius syndrome?,what is (are) moebius syndrome?,0.0
what is (are) medicare and continuing care?,what is (are) medicare and continuing care?,0.0
what is (are) medicare and continuing care?,what is (are) medicare and continuing care?,0.0
what is (are) medicare and continuing care?,what is (are) medicare and continuing care?,0.0
what is (are) high blood cholesterol?,what is (are) high blood cholesterol?,0.0
what is (are) high blood cholesterol?,what is (are) high blood cholesterol?,0.0
is congenital bilateral absence of the vas deferens inherited?,is congenital bilateral absence of the vas deferens inherited?,0.0
what are the treatments for prostate cancer?,what are the treatments for prostate cancer?,0.0
what is (are) medicare and continuing care?,what is (are) medicare and continuing care?,0.0
what is (are) medicare and continuing care?,what is (are) medicare and continuing care?,0.0
what is (are) medicare and continuing care?,what is (are) medicare and continuing care?,0.0
what is (are) medicare and continuing care?,what is (are) medicare and continuing care?,0.0
what are the treatments for skin cancer?,what are the treatments for skin cancer?,0.0
what are the treatments for skin cancer?,what are the treatments for skin cancer?,0.0
what is (are) breast cancer?,what is (are) breast cancer?,0.0
what is (are) heart failure?,what is (are) heart failure?,0.0
what are the symptoms of stroke?,what are the symptoms of stroke?,0.0
what is (are) parkinson's disease?,what is (are) parkinson's disease?,0.0
what is (are) prostate cancer?,what is (are) prostate cancer?,0.0
what is (are) parkinson's disease?,what is (are) parkinson's disease?,0.0
what is (are) porphyria?,what is (are) porphyria?,0.0
what is (are) osteoporosis?,what is (are) osteoporosis?,0.0
what are the treatments for osteoarthritis?,what are the treatments for osteoarthritis?,0.0
what research (or clinical trials) is being done for leukemia?,what research (or clinical trials) is being done for leukemia?,0.0
what is (are) alzheimer's caregiving?,what is (are) alzheimer's caregiving?,0.0
what is (are) parkinson's disease?,what is (are) parkinson's disease?,0.0
what are the treatments for surviving cancer?,what are the treatments for surviving cancer?,0.0
what are the symptoms of fg syndrome?,what are the symptoms of kbg syndrome?,0.0
what are the treatments for diabetic retinopathy?,what are the treatments for diabetic retinopathy?,0.0
who is at risk for breast cancer?,who is at risk for breast cancer?,0.0
what are the treatments for osteoarthritis?,what are the treatments for osteoarthritis?,0.0
what are the treatments for hereditary leiomyomatosis and renal cell cancer?,what are the treatments for hereditary leiomyomatosis and renal cell cancer?,0.0
what are the treatments for primary myelofibrosis?,what are the treatments for primary myelofibrosis?,0.0
what is (are) migraine?,what is (are) migraine?,0.0
what is (are) medicare and continuing care?,what is (are) medicare and continuing care?,0.0
what causes causes of diabetes?,what causes causes of diabetes?,0.0
what is (are) psoriasis?,what is (are) psoriasis?,0.0
what are the treatments for breast cancer?,what are the treatments for breast cancer?,0.0
what research (or clinical trials) is being done for problems with taste?,what research (or clinical trials) is being done for problems with taste?,0.0
what is (are) stroke?,what is (are) stroke?,0.0
what are the treatments for skin cancer?,what are the treatments for skin cancer?,0.0
is pendred syndrome inherited?,is pendred syndrome inherited?,0.0
what is (are) what i need to know about kidney stones?,what is (are) what i need to know about kidney stones?,0.0
what causes causes of diabetes?,what causes causes of diabetes?,0.0
what causes causes of diabetes?,what causes causes of diabetes?,0.0
what is (are) cataract?,what is (are) cataract?,0.0
what is (are) amyloidosis and kidney disease?,what is (are) amyloidosis and kidney disease?,0.0
what is (are) parkinson's disease?,what is (are) parkinson's disease?,0.0
what is (are) nutrition for advanced chronic kidney disease in adults?,what is (are) nutrition for advanced chronic kidney disease in adults?,0.0
what is (are) parkinson's disease?,what is (are) parkinson's disease?,0.0
what is (are) parkinson's disease?,what is (are) parkinson's disease?,0.0
is troyer syndrome inherited?,is troyer syndrome inherited?,0.0
what is (are) cadasil?,what is (are) cadasil?,0.0
what is (are) high blood cholesterol?,what is (are) high blood cholesterol?,0.0
what is (are) high blood cholesterol?,what is (are) high blood cholesterol?,0.0
what is (are) high blood cholesterol?,what is (are) high blood cholesterol?,0.0
what is (are) high blood cholesterol?,what is (are) high blood cholesterol?,0.0
what is (are) huntington's disease?,what is (are) huntington's disease?,0.0
what are the treatments for myotonic dystrophy?,what are the treatments for myotonic dystrophy?,0.0
what research (or clinical trials) is being done for alzheimer's disease?,what research (or clinical trials) is being done for alzheimer's disease?,1.1102230246251565e-16
what is (are) urinary incontinence in men?,what is (are) urinary incontinence in men?,4.440892098500626e-16
what to do for cystocele?,what to do for cystocele?,7.771561172376096e-16
what are the genetic changes related to l1 syndrome?,what are the genetic changes related to foxg1 syndrome?,0.0032105996302327355
what is (are) spastic paraplegia type 31?,what is (are) spastic paraplegia type 3a?,0.012485827192054488
what are the symptoms of immune dysfunction with t-cell inactivation due to calcium entry defect 1?,what are the symptoms of immune dysfunction with t-cell inactivation due to calcium entry defect 2?,0.015237165966807464
what are the genetic changes related to glycogen storage disease type iv?,what are the genetic changes related to glycogen storage disease type 0?,0.020296341800805084
what are the treatments for microscopic colitis: collagenous colitis and lymphocytic colitis?,what is (are) microscopic colitis: collagenous colitis and lymphocytic colitis?,0.020589215915837844
what are the genetic changes related to spinocerebellar ataxia type 6?,what are the genetic changes related to spinocerebellar ataxia type 36?,0.020743605002403798
